,brokerage_cash_value,sbux_value,ge_value,nrf_value,nsam_value,goog_value,mdor_value,bac_value,f_value,nat_value,usagx_value,bp_value,aapl_value,total_value
2010-05-01,1002.56,3831.4975000000004,6824.841588799999,1846.8067,,1479.42,62.7,,4604.0,2910.2410680000003,3736.5034299999998,,,26298.5702868
2010-06-01,5657.85,3936.8825,6351.7927346,1341.85702,,1496.16,62.7,,4600.0,2908.1829060000005,3711.8739100000003,,,30067.299070600006
2010-07-01,2403.08,3665.8925000000004,5611.8958088,1271.72512,,1309.65,62.7,,4112.0,2809.39113,3724.18867,2641.5,,27612.023228799997
2010-08-01,2371.53,3715.574,6634.813416599999,1645.76192,,1500.66,28.215,,5216.0,2973.015009,3742.66081,3719.7,,31547.9301556
2010-09-01,2252.93,3565.0240000000003,6068.772052599999,1561.6036399999998,,1410.9,37.62,,4644.0,2777.489619,4128.52329,3254.3999999999996,,29701.2626016
2010-10-01,2245.85,3905.2670000000003,6614.597653599999,1748.62204,,1576.8600000000001,43.89000000000001,,4904.0,2756.907999,4476.41526,3775.5000000000005,,32047.9099526
2010-11-01,2194.39,4337.3455,6448.828396999999,2075.9042400000003,,1884.2400000000002,63.95399999999999,,5692.0,2687.959572,4488.73002,3669.3,,33542.651729
2010-12-01,2287.92,4772.435,6590.3387379999995,1991.74596,,1693.0500000000002,41.382000000000005,,6584.0,2671.4942760000004,4725.78915,3655.7999999999997,,35013.955124
2011-01-01,2754.96,5005.7875,7390.8829528,2333.05454,,1813.0500000000002,47.025,,6900.0,2705.453949,4356.346350000001,4063.5,,37370.0602918
2011-02-01,2651.58,4855.2375,8409.757408,2412.53736,,1834.02,40.755,,6356.0,2501.695911,3953.0379600000006,4318.2,,37332.821139
2011-03-01,2764.68,4876.3145,8187.384015,2809.9514599999998,,1802.28,37.62,,5864.0,2490.37602,4233.1987500000005,4284.0,,37349.804745
2011-04-01,2831.09,5607.9875,8223.772388399999,2482.6692599999997,,1775.3999999999999,27.587999999999997,,6064.0,2564.469852,4184.96594,4109.4,,37871.342940400005
2011-05-01,2887.71,5522.174,8280.3765248,2417.2128199999997,,1615.6799999999998,28.215,,6180.0,2374.089867,4319.40207,4132.8,,37757.660281799996
2011-06-01,2198.13,5416.789,7734.550923799999,1954.3422799999998,,1576.8000000000002,9.405,,5692.0,2366.8863,4096.7101600000005,4080.6000000000004,,35126.2136638
2011-07-01,2219.68,6050.6045,7762.852991999999,1944.99136,,1563.06,0.0,,5608.0,2349.391923,3950.9855000000002,4015.7999999999997,,35465.366275
2011-08-01,2280.35,5991.89,7265.5452221999985,1846.8067,,1820.31,0.0,,6220.0,2129.1685890000003,4231.14629,4061.7000000000003,,35846.9168012
2011-09-01,2133.5,5814.241,6594.381890599999,1786.0257199999999,,1622.88,0.0,2334.8368975000003,4448.0,1847.200395,4534.91037,3545.1,,34661.0762731
2011-10-01,2174.418,5454.4265,6125.376189,1528.87542,,1508.49,0.627,1748.9843100000003,3860.0,1419.102699,3836.0477400000004,3215.7,,30872.047857999998
2011-11-01,2234.83,6374.287000000001,6756.1079946,1846.8067,,1777.92,0.627,1951.8893525000003,4672.0,1483.934802,4271.16926,3976.2,,35345.7721091
2011-12-01,2351.76,6541.397500000001,6408.396870999999,2029.1496399999999,,1831.9499999999998,0.0,1540.3636325000002,4284.0,1265.7696300000002,4130.57575,3888.0000000000005,,34271.3630235
2012-01-01,2748.03,7005.0915,7431.314478799999,2244.2208,,1976.88,0.0,1660.3919675000002,4452.0,1269.885954,3176.18185,3953.7,,35917.6965503
2012-02-01,2820.34,7226.400000000001,7645.601566599999,2328.37908,,1745.22,0.0,2069.0598700000005,4968.0,1437.6261570000001,3538.4410399999997,4116.6,,37895.66771359999
2012-03-01,2643.35,7327.268500000001,7726.464618599999,2496.69564,,1868.1000000000001,0.627,2317.6899925000002,5068.0,1527.1562040000001,3469.6836300000004,4302.900000000001,,38747.9355851
2012-04-01,2866.54,8414.239500000001,8114.607268199999,2529.42386,,1923.72,0.627,2734.9313475000004,4992.0,1634.180628,3102.29329,4050.0,,40362.5628937
2012-05-01,2935.29,8680.713,8005.442147999999,2618.2576,,1813.29,0.627,2374.8463425000004,4492.0,1487.022045,2966.83093,3843.0000000000005,,39217.3190655
2012-06-01,3152.03,7851.182500000001,7496.004920399999,2337.73,,1712.94,0.627,2006.1878850000003,4047.9999999999995,1260.624225,2783.13576,3308.3999999999996,,35956.8622904
2012-07-01,3198.12,8027.326000000001,8425.930018399999,2440.59012,,1740.21,0.627,2337.694715,3836.0,1396.462917,2692.82752,3648.6,,37744.3882904
2012-08-01,3266.88,6815.398500000001,8389.541645,2576.1784599999996,,1898.91,0.627,2097.638045,3696.0,1204.02477,2599.44059,3591.0,,36135.63901
2012-09-01,3492.98,7468.785500000001,8373.3690346,2744.49502,,2055.27,0.627,2283.3961825000006,3736.0,1205.0538510000001,2868.3128500000003,3785.4,,38013.68943810001
2012-10-01,3539.07,7550.0825,9262.8626066,3006.32078,,2285.34,0.627,2560.6044800000004,3972.0,1025.9937570000002,3277.7786200000005,3799.7999999999997,,40280.47974359999
2012-11-01,3607.83,6910.245,8514.8793756,3071.77722,,2040.8999999999999,0.627,2663.4859100000003,4464.0,864.4280400000001,3186.4441500000003,3860.1,,39184.7166956
2012-12-01,3818.45,7809.0285,8543.181443799998,3146.58458,,2095.11,0.0,2817.8080550000004,4580.0,935.434629,2876.5226900000002,3758.3999999999996,,40380.519897800004
