,brokerage_cash_value,sbux_value,ge_value,nrf_value,nsam_value,goog_value,mdor_value,bac_value,f_value,nat_value,usagx_value,bp_value,aapl_value,total_value,,,,GOOG,BP,BAC,F,GE,MDOR,NRF,SBUX,NAT,USAGX,MTRBX,MDIFX,MIGBX,NSAM,AAPL
2010-05-01,1002.56,3831.4975,6824.8415888,1846.8067,,1479.42,62.7,,4604,2910.241068,3736.50343,,,26298.57,38448.98058,12150.4102932,,,,,,,,,,,,,,,,
2010-06-01,5657.85,3936.8825,6351.7927346,1341.85702,,1496.16,62.7,,4600,2908.182906,3711.87391,,,30067.30,35795.87182,5728.5727494,,"$1,479.42",,"$4,623.94","$4,604.00","$6,824.82",$62.70,"$3,693.61","$3,831.50","$2,910.24","$3,736.50","$1,417.81","$1,631.15","$2,630.74",,
2010-07-01,2403.08,3665.8925,5611.8958088,1271.72512,,1309.65,62.7,,4112,2809.39113,3724.18867,2641.5,,27612.02,32838.93717,5226.91394120001,,"$1,496.16",,"$4,386.74","$4,600.00","$6,351.77",$62.70,"$2,683.71","$3,936.88","$2,908.18","$3,711.87",,,,,
2010-08-01,2371.53,3715.574,6634.8134166,1645.76192,,1500.66,28.215,,5216,2973.015009,3742.66081,3719.7,,31547.93,37183.17127,5635.2411144,,"$1,309.65","$2,641.50","$3,955.21","$4,112.00","$5,611.88",$62.70,"$2,543.45","$3,665.89","$2,809.39","$3,724.19",,,,,
2010-09-01,2252.93,3565.024,6068.7720526,1561.60364,,1410.9,37.62,,4644,2777.489619,4128.52329,3254.4,,29701.26,35120.88813,5419.6255284,,"$1,500.66","$3,719.70","$3,989.50","$5,216.00","$6,634.79",$28.22,"$3,291.52","$3,715.57","$2,973.01","$3,742.66",,,,,
2010-10-01,2245.85,3905.267,6614.5976536,1748.62204,,1576.86,43.89,,4904,2756.907999,4476.41526,3775.5,,32047.91,37597.396,5549.4860474,,"$1,410.90","$3,254.40","$3,858.04","$4,644.00","$6,068.75",$37.62,"$3,123.21","$3,565.02","$2,777.49","$4,128.52",,,,,
2010-11-01,2194.39,4337.3455,6448.828397,2075.90424,,1884.24,63.954,,5692,2687.959572,4488.73002,3669.3,,33542.65,39150.78642,5608.13469100001,,"$1,576.86","$3,775.50","$3,800.89","$4,904.00","$6,614.58",$43.89,"$3,497.24","$3,905.27","$2,756.91","$4,476.42",,,,,
2010-12-01,2287.92,4772.435,6590.338738,1991.74596,,1693.05,41.382,,6584,2671.494276,4725.78915,3655.8,,35013.96,40395.04061,5381.085486,,"$1,884.24","$3,669.30","$3,532.25","$5,692.00","$6,448.81",$63.95,"$4,151.81","$4,337.35","$2,687.96","$4,488.73",,,,,
2011-01-01,2754.96,5005.7875,7390.8829528,2333.05454,,1813.05,47.025,,6900,2705.453949,4356.34635,4063.5,,37370.06,43515.40771,6145.3474182,,"$1,693.05","$3,655.80","$3,389.36","$6,584.00","$6,590.32",$41.38,"$3,983.49","$4,772.44","$2,671.49","$4,725.79",,,,,
2011-02-01,2651.58,4855.2375,8409.757408,2412.53736,,1834.02,40.755,,6356,2501.695911,3953.03796,4318.2,,37332.82,43834.85597,6502.03483100001,,"$1,813.05","$4,063.50","$3,812.32","$6,900.00","$7,390.86",$47.03,"$4,666.11","$5,005.79","$2,705.45","$4,356.35",,,,,
